accession,description,number_of_unique_peptides,number_of_peptides,total_PSMs,ctrl_abundance,exp_abundance,mean_abundance,abundance_fc,abundance_log2fc,ctrl_PSMs,exp_PSMs,PSM_fc,PSM_log2fc,PSM_zscore,pval,fdr_bh,xl_id,xl_id_source,xenla_xen_base_gene_names,xenla_gen_bank_description,human_uni_prot_id,human_gene_names_primary,human_gene_names_synonyms,egg_nog_annotation
ENOG411D10F,ENOG411D10F,24,28,137,19825005.186523438,1904619603.882812,962222304.5346677,96.07158161943516,6.5860378336911705,4,133,18.202601780165377,4.186072770974605,9.855698781728421,3.238230267838551e-23,5.621567744967725e-20,"117608, 118764077, 148225136, 148231075",GenBank,NA,"RecName: Full=Catenin beta; AltName: Full=Beta-catenin, Ctnnb1 protein [Xenopus laevis], catenin beta [Xenopus laevis], catenin (cadherin-associated protein), beta 1, 88kDa [Xenopus laevis]",P35222,CTNNB1,CTNNB,Armadillo/beta-catenin-like repeat
ENOG411CRHM,ENOG411CRHM,41,41,134,14273432.03222657,1879918895.085938,947096163.5590823,131.70755925004266,7.041194340073645,5,129,14.716033777496884,3.8793169877114937,9.529113147983482,7.931628245077856e-22,6.884653316727579e-19,"1199644, 148224437, 171847162, 32822903, 62533184, 83405221, Xelaev18016936m.g","GenBank, Xenbase_9.1",ctnna1.L,"alpha(E)-catenin [Xenopus laevis], catenin alpha-2 [Xenopus laevis], Catna1 protein [Xenopus laevis], NA","P35221, P26232, Q9UI47","CTNNA1, CTNNA2, CTNNA3",CAPR,"Catenin (Cadherin-associated protein), alpha"
ENOG411CPTV,ENOG411CPTV,28,28,85,7170239.64453125,1166225316.914063,586697778.2792971,162.64802499363384,7.3456094938679435,2,83,19.01764365091905,4.2492665974618,7.876891367463708,1.6781323462256442e-15,9.710792510159061e-13,"1090506, 13432108, 13432110, 148231045, 148236899, 1705540, 20664275, 3150273, 455530, 46250230, 609637, 64567, Xelaev18022637m.g, Xelaev18004718m.g, Xelaev18024918m.g, Xelaev18022638m.g","GenBank, Xenbase_9.1","cdh1.L, loc100490079.L, cdh1.S, cdh3.L","cadherin, RecName: Full=EP-cadherin; AltName: Full=C-cadherin; Flags: Precursor, RecName: Full=Blastomere cadherin; Short=B-cadherin; AltName: Full=XBcad; Flags: Precursor, blastomere cadherin [Xenopus laevis], EP-cadherin [Xenopus laevis], RecName: Full=Cadherin-1; AltName: Full=Epithelial cadherin; Short=E-cadherin; AltName: Full=Uvomorulin; AltName: Full=xTCAD-1; Flags: Precursor, Chain A, C-Cadherin Ectodomain, C-cadherin [Xenopus laevis], E-cadherin [Xenopus laevis], Xb-cad protein [Xenopus laevis], cadherin [Xenopus laevis], NA","P12830, P22223","CDH1, CDH3","CDHE UVO, CDHP",Cadherins are calcium dependent cell adhesion proteins (By similarity)
ENOG411CTF4,ENOG411CTF4,19,23,53,12341797.16015626,467445430.101563,239893613.6308596,37.87498887201324,5.24317355959721,2,51,11.772827021997507,3.5573888928241315,5.977237682259322,1.1347647846211162e-9,4.924879165255644e-7,"148225927, 148229117, 28302315, 65253, Xelaev18045870m.g","GenBank, Xenbase_9.1",jup.S,"junction plakoglobin [Xenopus laevis], LOC398496 protein [Xenopus laevis], X-plakoglobin [Xenopus laevis], NA",P14923,JUP,CTNNG DP3,"Catenin (Cadherin-associated protein), beta 1, 88kDa"
ENOG411CZFK,ENOG411CZFK,71,71,160,83523455.8222656,366661075.828125,225092265.8251953,4.389917445566002,2.1341938094662374,38,122,2.1420972244167062,1.099023961881187,4.551105619238006,2.668237476860049e-6,9.26412051965809e-4,"Xelaev18041192m.g, Xelaev18039698m.g",Xenbase_9.1,"dync1h1.S, dync1h1.L",NA,Q14204,DYNC1H1,DHC1 DNCH1 DNCL DNECL DYHC KIAA0325,"dynein, cytoplasmic 1, heavy chain 1"
ENOG411CRYB,ENOG411CRYB,21,21,33,7205097.356445311,36614339.566406295,21909718.461425804,5.081727248786303,2.3453189437928277,3,30,5.2638120819508085,2.3961079857910708,4.0087676416362585,3.0518218050729865e-5,0.008829937756011173,"Xelaev18002839m.g, Xelaev18041759m.g",Xenbase_9.1,"huwe1.L, huwe1.S",NA,Q7Z6Z7,HUWE1,KIAA0312 KIAA1578 UREB1,"HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase"
ENOG411CRKW,ENOG411CRKW,12,12,24,3597975.39062501,18469809.4375,11033892.414062506,5.133389596167188,2.359911757359091,3,21,3.735608574287671,1.9013432940414927,3.032160891790858,0.001214048730489174,0.3010840851613152,"12025476, 147905646, 148228344, 213626677, 27447665, 47937568, Xelaev18010553m.g, Xelaev18010552m.g, Xelaev18035073m.g, Xelaev18007708m.g, Xelaev18037256m.g","GenBank, Xenbase_9.1","Xelaev18010553m.g, arvcf.S, ctnnd1.L, arvcf.L, ctnnd1.S","p120 [Xenopus laevis], armadillo repeat gene deletes in velo-cardio-facial syndrome [Xenopus laevis], catenin delta-1 [Xenopus laevis], Arvcf protein [Xenopus laevis], p120 isoform 2 [Xenopus laevis], NA","O60716, O00192","CTNND1, ARVCF","KIAA0384, NA","Catenin (Cadherin-associated protein), delta 1"
ENOG411CRZM,ENOG411CRZM,12,12,19,18263666.36328125,45464386.7109375,31864026.537109375,2.4893351535561763,1.3157604817541166,2,17,4.0752093537683685,2.026874176125352,2.896459629087199,0.0018869959849181588,0.40947812872724043,"148234841, Xelaev18015664m.g, Xelaev18013138m.g, Xelaev18027990m.g","GenBank, Xenbase_9.1","uggt2.S, uggt2.L, uggt1-like.L","UDP-glucose glycoprotein glucosyltransferase 1 [Xenopus laevis], NA","Q9NYU2, Q9NYU1","UGGT1, UGGT2","GT UGCGL1 UGGT UGT1 UGTR, UGCGL2 UGT2",UDP-glucose glycoprotein glucosyltransferase
ENOG411CRYY,ENOG411CRYY,7,7,9,1961791.2187500051,9672257.6875,5817024.453125003,4.9303195952028345,2.301681168605173,0,9,6.792015589613947,2.763839770291558,2.7227713859715954,0.003236841924979809,0.5654611347730764,"147906262, 45126627, 48734622, Xelaev18015219m.g","GenBank, Xenbase_9.1",kpna6.S,"importin alpha 5.2 protein [Xenopus laevis], importin alpha 5.1 protein [Xenopus laevis], Unknown (protein for MGC:78911) [Xenopus laevis], NA","O60684, O15131","KPNA6, KPNA5","IPOA7, NA",Importin subunit alpha
ENOG411CVD6,ENOG411CVD6,77,77,216,149893256.82958978,495085554.859375,322489405.8444824,3.3029207939769196,1.723742373345258,68,148,1.4666816273224317,0.5525557390881877,2.6580971410657104,0.003929161940059469,0.5654611347730764,"117667435, 124481743, 148223878, 148225656, 169642445, 210063369, 210063371, 213626935, 34785893, 38014765, 49117916, 50924726, 54261627, Xelaev18047510m.g, Xelaev18025550m.g, Xelaev18037682m.g, Xelaev18044210m.g, Xelaev18035902m.g, Xelaev18046824m.g, Xelaev18045183m.g","GenBank, Xenbase_9.1","myh11.S, myh9.S, myh14.S, myh10.L, myh14.L, myh10.S, myh11.L","myosin-2a [Xenopus laevis], Unknown (protein for IMAGE:4175361) [Xenopus laevis], myosin, heavy chain 10, non-muscle [Xenopus laevis], myosin, heavy chain 9, non-muscle [Xenopus laevis], LOC495286 protein [Xenopus laevis], smooth muscle myosin heavy chain isoform SM1 [Xenopus laevis], smooth muscle myosin heavy chain isoform SM2 [Xenopus laevis], LOC398083 protein [Xenopus laevis], LOC398719 protein [Xenopus laevis], LOC443585 protein [Xenopus laevis], Unknown (protein for IMAGE:5515537) [Xenopus laevis], NA","P35580, P35579, P35749","MYH10, MYH9, MYH11",KIAA0866,"myosin, heavy chain"
