"Checked"	"Protein FDR Confidence Combined"	"Master"	"Accession"	"Description"	"Exp q-value Combined"	"Contaminant"	"Sum PEP Score"	"Coverage in Percent"	"Number of Peptides"	"Number of PSMs"	"Number of Unique Peptides"	"Number of AAs"	"MW in kDa"	"calc pI"	"Score Sequest HT A2 Sequest HT"	"Number of Peptides by Search Engine A2 Sequest HT"	"Abundance F19 Control"	"Abundance F20 Control"	"Abundance F21 Sample"	"Abundance F22 Sample"	"Abundance F23 Control"	"Abundance F24 Control"	"Abundance F25 Sample"	"Abundance F26 Sample"	"Found in Sample in S19 F19 Control"	"Found in Sample in S20 F20 Control"	"Found in Sample in S21 F21 Sample"	"Found in Sample in S22 F22 Sample"	"Found in Sample in S23 F23 Control"	"Found in Sample in S24 F24 Control"	"Found in Sample in S25 F25 Sample"	"Found in Sample in S26 F26 Sample"	"Number of Protein Groups"	"Modifications"
"False"	"High"	"IsMasterProtein"	"ENOG411CW1E"	"ENOG411CW1E"	"0.000"	"False"	"861.544"	"32"	"157"	"921"	"157"	"11998"	"1339.0"	"9.00"	"2398.89"	"157"	"2179708670.125"	"2133227752.5"	"2654111920.625"	"2787200480.375"	"455019503.964844"	"467484799.982422"	"646379202.421875"	"646909623.445313"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CRHM"	"ENOG411CRHM"	"0.000"	"False"	"622.165"	"52"	"66"	"403"	"66"	"5123"	"568.7"	"5.96"	"1202.74"	"66"	"168830157.59375"	"162867498.0625"	"4713681552.0625"	"4808194680.3125"	"112430048.000977"	"108326222.523438"	"1276259098.93652"	"1258628190.98584"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CWSX"	"ENOG411CWSX"	"0.000"	"False"	"573.121"	"37"	"62"	"704"	"59"	"3303"	"378.7"	"5.08"	"1982.49"	"62"	"6720914129"	"6565074942.875"	"7429817623.1875"	"7724693888.5"	"1546444264.94043"	"1558637937.48047"	"1972908987.91797"	"1946368642.98828"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CPDR"	"ENOG411CPDR"	"0.000"	"False"	"491.636"	"30"	"75"	"617"	"75"	"6768"	"776.7"	"7.21"	"1563.37"	"75"	"2604177459.50098"	"2605364414.9375"	"3391170524.6875"	"3556121493.28125"	"557071428.867188"	"571961539.357422"	"800397247.263672"	"804492739.871094"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Met-loss+Acetyl [N-Term; N-Term; N-Term]"
"False"	"High"	"IsMasterProtein"	"ENOG411CQFQ"	"ENOG411CQFQ"	"0.000"	"False"	"475.386"	"37"	"64"	"625"	"63"	"5486"	"610.0"	"7.34"	"1581.00"	"64"	"3432020716.6875"	"3301594689.96875"	"4113197544.625"	"4346860571.625"	"651929320.37207"	"667661860.798828"	"895373979.080078"	"852984707.808594"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Met-loss [N-Term; N-Term; N-Term; N-Term]"
"False"	"High"	"IsMasterProtein"	"ENOG411CR3X"	"ENOG411CR3X"	"0.000"	"False"	"466.727"	"41"	"55"	"463"	"55"	"3814"	"417.2"	"7.65"	"1411.97"	"55"	"2858659071.19531"	"2902236155.0625"	"3221764735.5625"	"3336567924.53125"	"629765523.558594"	"630412530.65625"	"792593199.470703"	"798504194.40625"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CQFY"	"ENOG411CQFY"	"0.000"	"False"	"464.653"	"72"	"52"	"485"	"52"	"1073"	"115.7"	"6.40"	"1424.99"	"52"	"2058830802.40625"	"2035472611.60938"	"2305143238.9375"	"4037640646.9375"	"455336650.486328"	"463594093.158203"	"566119161.355469"	"563856916.734375"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Met-loss+Acetyl [N-Term; N-Term]"
"False"	"High"	"IsMasterProtein"	"ENOG411CVBZ"	"ENOG411CVBZ"	"0.000"	"False"	"461.169"	"32"	"81"	"433"	"81"	"6719"	"766.8"	"5.85"	"1160.42"	"81"	"759220536.34375"	"750840454.1875"	"1066701155.4375"	"1194478881"	"163128196.726563"	"541912737.205078"	"266468547.132813"	"264180178.820313"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Met-loss+Acetyl [N-Term; N-Term; N-Term; N-Term]"
"False"	"High"	"IsMasterProtein"	"ENOG411CPDK"	"ENOG411CPDK"	"0.000"	"False"	"449.592"	"40"	"43"	"758"	"43"	"7651"	"858.7"	"5.03"	"2131.54"	"43"	"10569516906.0625"	"10521606332.5938"	"11358847975.8125"	"11701384438.625"	"2221798331.80371"	"2177566696.57813"	"2571984663.98047"	"2572368082.68555"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CZ0X"	"ENOG411CZ0X"	"0.000"	"False"	"448.820"	"40"	"81"	"420"	"81"	"3678"	"421.4"	"5.74"	"1156.68"	"81"	"689722308.546875"	"653373081.71875"	"962651921.25"	"1019080984.5625"	"174715868.734375"	"185636381.609375"	"261495592.140625"	"261595208.525391"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
