"Checked"	"Protein FDR Confidence Combined"	"Master"	"Accession"	"Description"	"Exp q-value Combined"	"Contaminant"	"Sum PEP Score"	"Coverage in Percent"	"Number of Peptides"	"Number of PSMs"	"Number of Unique Peptides"	"Number of AAs"	"MW in kDa"	"calc pI"	"Score Sequest HT A2 Sequest HT"	"Number of Peptides by Search Engine A2 Sequest HT"	"Abundance F27 Control"	"Abundance F28 Control"	"Abundance F29 Sample"	"Abundance F30 Sample"	"Found in Sample in S27 F27 Control"	"Found in Sample in S28 F28 Control"	"Found in Sample in S29 F29 Sample"	"Found in Sample in S30 F30 Sample"	"Number of Protein Groups"	"Modifications"
"False"	"High"	"IsMasterProtein"	"ENOG411CW1E"	"ENOG411CW1E"	"0.000"	"False"	"492.256"	"22"	"116"	"395"	"116"	"11998"	"1339.0"	"9.00"	"898.99"	"116"	"378405644.12207"	"389280857.566406"	"696737379.566406"	"709730071.883789"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CT7V"	"ENOG411CT7V"	"0.000"	"False"	"341.151"	"13"	"83"	"236"	"83"	"12961"	"1383.5"	"5.82"	"546.63"	"83"	"92981103.7441406"	"95132533.9589844"	"285721867.855469"	"285861053"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CVD6"	"ENOG411CVD6"	"0.000"	"False"	"327.931"	"13"	"77"	"216"	"77"	"28736"	"3326.7"	"5.77"	"513.93"	"77"	"75285865.6118164"	"74607391.2177734"	"245908750.150391"	"249176804.708984"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CWSX"	"ENOG411CWSX"	"0.000"	"False"	"244.684"	"26"	"41"	"253"	"38"	"3303"	"378.7"	"5.08"	"627.79"	"41"	"563953674.429688"	"560577893.494141"	"1289820853.61719"	"1302549152.37598"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CZFK"	"ENOG411CZFK"	"0.000"	"False"	"242.251"	"14"	"71"	"160"	"71"	"9293"	"1065.2"	"6.47"	"352.26"	"71"	"41681408.8203125"	"41842047.0019531"	"181961152.0625"	"184699923.765625"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CRHM"	"ENOG411CRHM"	"0.000"	"False"	"239.417"	"34"	"41"	"134"	"41"	"5123"	"568.7"	"5.96"	"365.17"	"41"	"7239210.37402344"	"7034221.65820313"	"935587110.59375"	"944331784.492188"	"High"	"Peak Found"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CPNE"	"ENOG411CPNE"	"0.000"	"False"	"233.644"	"24"	"51"	"167"	"51"	"5487"	"615.7"	"8.35"	"390.58"	"51"	"102795130.223145"	"99916141.5527344"	"269715027.914063"	"266176679.59375"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CR02"	"ENOG411CR02"	"0.000"	"False"	"233.641"	"24"	"32"	"142"	"32"	"3382"	"372.4"	"4.54"	"348.86"	"32"	"36165680.4355469"	"42443139.4609375"	"120327867.859375"	"118882004.648438"	"High"	"High"	"High"	"High"	"1"	"Met-loss [N-Term; N-Term; N-Term; N-Term]; Met-loss+Acetyl [N-Term; N-Term; N-Term; N-Term]"
"False"	"High"	"IsMasterProtein"	"ENOG411CUSF"	"ENOG411CUSF"	"0.000"	"False"	"215.443"	"25"	"31"	"191"	"28"	"7124"	"780.6"	"5.81"	"509.34"	"31"	"168960502.136719"	"174209165.09375"	"491927222.4375"	"499430006.828125"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CQFQ"	"ENOG411CQFQ"	"0.000"	"False"	"201.523"	"19"	"36"	"198"	"35"	"5486"	"610.0"	"7.34"	"425.72"	"36"	"254766299.867188"	"254982338.210938"	"840770282.195313"	"844961590.515625"	"High"	"High"	"High"	"High"	"1"	"Met-loss [N-Term; N-Term; N-Term; N-Term]"
