accession,ctrl_PSMs_b1,ctrl_PSMs_b2,exp_PSMs_b1,exp_PSMs_b2,PSM_zscore_b1,PSM_zscore_b2,PSM_log2fc_b1,PSM_log2fc_b2,mean_ctrl_PSMs,mean_exp_PSMs,joint_zscore,pval,fdr_bh,description,xl_id,xl_id_source,xenla_xen_base_gene_names,xenla_gen_bank_description,human_uni_prot_id,human_gene_names_primary,human_gene_names_synonyms,egg_nog_annotation,conf_90,conf_95,conf_99
ENOG411CRHM,30,5,373,129,16.224938820622388,9.529113147983482,3.3705093537950215,3.8793169877114937,17.5,251,18.210864790031966,2.1160450576401333e-74,4.8986443084369084e-71,ENOG411CRHM,"1199644, 148224437, 171847162, 32822903, 62533184, 83405221, Xelaev18016936m.g","GenBank, Xenbase_9.1",ctnna1.L,"alpha(E)-catenin [Xenopus laevis], catenin alpha-2 [Xenopus laevis], Catna1 protein [Xenopus laevis], NA","P35221, P26232, Q9UI47","CTNNA1, CTNNA2, CTNNA3",CAPR,"Catenin (Cadherin-associated protein), alpha",TRUE,TRUE,TRUE
ENOG411D10F,40,4,261,133,11.888318037086405,9.855698781728421,2.453682201213627,4.186072770974605,22,197,15.375341742818305,1.197879883487662e-53,1.3865459651369687e-50,ENOG411D10F,"117608, 118764077, 148225136, 148231075",GenBank,NA,"RecName: Full=Catenin beta; AltName: Full=Beta-catenin, Ctnnb1 protein [Xenopus laevis], catenin beta [Xenopus laevis], catenin (cadherin-associated protein), beta 1, 88kDa [Xenopus laevis]",P35222,CTNNB1,CTNNB,Armadillo/beta-catenin-like repeat,TRUE,TRUE,TRUE
ENOG411CPTV,10,2,171,83,11.400280070902838,7.876891367463708,3.7446443403590606,4.2492665974618,6,127,13.631018646164614,1.3094946435413575e-42,1.0104933665994141e-39,ENOG411CPTV,"1090506, 13432108, 13432110, 148231045, 148236899, 1705540, 20664275, 3150273, 455530, 46250230, 609637, 64567, Xelaev18022637m.g, Xelaev18004718m.g, Xelaev18024918m.g, Xelaev18022638m.g","GenBank, Xenbase_9.1","cdh1.L, loc100490079.L, cdh1.S, cdh3.L","cadherin, RecName: Full=EP-cadherin; AltName: Full=C-cadherin; Flags: Precursor, RecName: Full=Blastomere cadherin; Short=B-cadherin; AltName: Full=XBcad; Flags: Precursor, blastomere cadherin [Xenopus laevis], EP-cadherin [Xenopus laevis], RecName: Full=Cadherin-1; AltName: Full=Epithelial cadherin; Short=E-cadherin; AltName: Full=Uvomorulin; AltName: Full=xTCAD-1; Flags: Precursor, Chain A, C-Cadherin Ectodomain, C-cadherin [Xenopus laevis], E-cadherin [Xenopus laevis], Xb-cad protein [Xenopus laevis], cadherin [Xenopus laevis], NA","P12830, P22223","CDH1, CDH3","CDHE UVO, CDHP",Cadherins are calcium dependent cell adhesion proteins (By similarity),TRUE,TRUE,TRUE
ENOG411CTF4,40,2,131,51,6.186805807603446,5.977237682259322,1.46465331903463,3.5573888928241315,21,91,8.601277638330039,3.941675953523655e-18,2.281244958101815e-15,ENOG411CTF4,"148225927, 148229117, 28302315, 65253, Xelaev18045870m.g","GenBank, Xenbase_9.1",jup.S,"junction plakoglobin [Xenopus laevis], LOC398496 protein [Xenopus laevis], X-plakoglobin [Xenopus laevis], NA",P14923,JUP,CTNNG DP3,"Catenin (Cadherin-associated protein), beta 1, 88kDa",TRUE,TRUE,TRUE
ENOG411CRKW,10,3,70,21,6.268737366553201,3.032160891790858,2.468126705161645,1.9013432940414927,6.5,45.5,6.576728229601233,2.4045630013653477e-11,1.113312669632156e-8,ENOG411CRKW,"12025476, 147905646, 148228344, 213626677, 27447665, 47937568, Xelaev18010553m.g, Xelaev18010552m.g, Xelaev18035073m.g, Xelaev18007708m.g, Xelaev18037256m.g","GenBank, Xenbase_9.1","Xelaev18010553m.g, arvcf.S, ctnnd1.L, arvcf.L, ctnnd1.S","p120 [Xenopus laevis], armadillo repeat gene deletes in velo-cardio-facial syndrome [Xenopus laevis], catenin delta-1 [Xenopus laevis], Arvcf protein [Xenopus laevis], p120 isoform 2 [Xenopus laevis], NA","O60716, O00192","CTNND1, ARVCF","KIAA0384, NA","Catenin (Cadherin-associated protein), delta 1",TRUE,TRUE,TRUE
ENOG411CZFK,20,38,46,122,2.666032002329031,4.551105619238006,0.940082633193137,1.099023961881187,29,84,5.103286952966602,1.6690213054618637e-7,6.439640536907023e-5,ENOG411CZFK,"Xelaev18041192m.g, Xelaev18039698m.g",Xenbase_9.1,"dync1h1.S, dync1h1.L",NA,Q14204,DYNC1H1,DHC1 DNCH1 DNCL DNECL DYHC KIAA0325,"dynein, cytoplasmic 1, heavy chain 1",TRUE,TRUE,TRUE
ENOG411CVD6,22,68,58,148,3.4602602671347165,2.6580971410657104,1.1368922975990885,0.5525557390881877,45,103,4.326332013061471,7.580642305513089e-6,0.002507026705323257,ENOG411CVD6,"117667435, 124481743, 148223878, 148225656, 169642445, 210063369, 210063371, 213626935, 34785893, 38014765, 49117916, 50924726, 54261627, Xelaev18047510m.g, Xelaev18025550m.g, Xelaev18037682m.g, Xelaev18044210m.g, Xelaev18035902m.g, Xelaev18046824m.g, Xelaev18045183m.g","GenBank, Xenbase_9.1","myh11.S, myh9.S, myh14.S, myh10.L, myh14.L, myh10.S, myh11.L","myosin-2a [Xenopus laevis], Unknown (protein for IMAGE:4175361) [Xenopus laevis], myosin, heavy chain 10, non-muscle [Xenopus laevis], myosin, heavy chain 9, non-muscle [Xenopus laevis], LOC495286 protein [Xenopus laevis], smooth muscle myosin heavy chain isoform SM1 [Xenopus laevis], smooth muscle myosin heavy chain isoform SM2 [Xenopus laevis], LOC398083 protein [Xenopus laevis], LOC398719 protein [Xenopus laevis], LOC443585 protein [Xenopus laevis], Unknown (protein for IMAGE:5515537) [Xenopus laevis], NA","P35580, P35579, P35749","MYH10, MYH9, MYH11",KIAA0866,"myosin, heavy chain",TRUE,TRUE,TRUE
ENOG411CQ8S,0,0,16,2,3.848688557656922,1.2833685996849322,3.8652740455445995,1.0268741761253515,0,9,3.6289124173933818,1.4230888688962652e-4,0.041180634143685675,ENOG411CQ8S,"147901558, 147901815, Xelaev18018502m.g","GenBank, Xenbase_9.1",erlin2.L,"erlin-2-A precursor [Xenopus laevis], erlin-2-B precursor [Xenopus laevis], NA","O94905, O75477","ERLIN2, ERLIN1","C8orf2 SPFH2, C10orf69 KE04 KEO4 SPFH1",ER lipid raft associated,TRUE,TRUE,FALSE
ENOG411CRYB,4,3,8,30,0.9167885549138486,4.0087676416362585,0.62580811084921,2.3961079857910708,3.5,19,3.4828941876959996,2.4801218778961343e-4,0.06379424608143945,ENOG411CRYB,"Xelaev18002839m.g, Xelaev18041759m.g",Xenbase_9.1,"huwe1.L, huwe1.S",NA,Q7Z6Z7,HUWE1,KIAA0312 KIAA1578 UREB1,"HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase",TRUE,FALSE,FALSE
ENOG411CURI,6,2,24,9,2.9780183033169703,1.616889898149603,1.6143124720113806,1.1788772695704017,4,16.5,3.249090748186697,5.788726863743818e-4,0.1340090268956694,ENOG411CURI,"147899432, 190610686, Xelaev18023767m.g, Xelaev18041746m.g, Xelaev18003550m.g, Xelaev18014870m.g, Xelaev18021245m.g, Xelaev18025751m.g","GenBank, Xenbase_9.1","atp2b2-like.L, atp2b3.S, atp2b3.L, atp2b4-like.S, atp2b1.S, atp2b2-like.S","plasma membrane calcium ATPase 3 [Xenopus laevis], plasma membrane calcium ATPase 1b [Xenopus laevis], NA","Q01814, P20020, Q16720, P23634","ATP2B2, ATP2B1, ATP2B3, ATP2B4","PMCA2, PMCA1, ATP2B2 MXRA1","ATPase, Ca transporting, plasma membrane",FALSE,FALSE,FALSE
